vehicle_slug,vehicle_name,wiki_image_url,wiki_url,checked_at,status,error
cn_al_khalid_1,Al-Khalid-I,https://static.encyclopedia.warthunder.com/images/cn_al_khalid_1.png,https://wiki.warthunder.com/unit/cn_al_khalid_1,2026-07-02T18:29:39.320647+00:00,ok,
cn_antelope_tc_1l_ads,Antelope,https://static.encyclopedia.warthunder.com/images/cn_antelope_tc_1l_ads.png,https://wiki.warthunder.com/unit/cn_antelope_tc_1l_ads,2026-07-02T18:29:42.015672+00:00,ok,
cn_cm11,CM11,https://static.encyclopedia.warthunder.com/images/cn_cm11.png,https://wiki.warthunder.com/unit/cn_cm11,2026-07-02T18:29:44.448843+00:00,ok,
cn_cm_25,CM25,https://static.encyclopedia.warthunder.com/images/cn_cm_25.png,https://wiki.warthunder.com/unit/cn_cm_25,2026-07-02T18:29:46.616076+00:00,ok,
cn_cm_34,CM34,https://static.encyclopedia.warthunder.com/images/cn_cm_34.png,https://wiki.warthunder.com/unit/cn_cm_34,2026-07-02T18:29:49.363636+00:00,ok,
cn_gmc_cckw_353_m45_quad,CCKW 353 (M45),https://static.encyclopedia.warthunder.com/images/cn_gmc_cckw_353_m45_quad.png,https://wiki.warthunder.com/unit/cn_gmc_cckw_353_m45_quad,2026-07-02T18:29:51.468883+00:00,ok,
cn_hj_9,AFT09,https://static.encyclopedia.warthunder.com/images/cn_hj_9.png,https://wiki.warthunder.com/unit/cn_hj_9,2026-07-02T18:29:53.777599+00:00,ok,
cn_hq_11,HQ11,https://static.encyclopedia.warthunder.com/images/cn_hq_11.png,https://wiki.warthunder.com/unit/cn_hq_11,2026-07-02T18:29:56.073972+00:00,ok,
cn_hq_17,HQ17,https://static.encyclopedia.warthunder.com/images/cn_hq_17.png,https://wiki.warthunder.com/unit/cn_hq_17,2026-07-02T18:29:58.344502+00:00,ok,
cn_is_2_1943,␗IS-2,https://static.encyclopedia.warthunder.com/images/cn_is_2_1943.png,https://wiki.warthunder.com/unit/cn_is_2_1943,2026-07-02T18:30:00.624766+00:00,ok,
cn_is_2_1943_no402,IS-2 No.402,https://static.encyclopedia.warthunder.com/images/cn_is_2_1943_no402.png,https://wiki.warthunder.com/unit/cn_is_2_1943_no402,2026-07-02T18:30:02.776927+00:00,ok,
cn_is_2_1944,␗IS-2 (1944),https://static.encyclopedia.warthunder.com/images/cn_is_2_1944.png,https://wiki.warthunder.com/unit/cn_is_2_1944,2026-07-02T18:30:05.272777+00:00,ok,
cn_isu_122,␗ISU-122,https://static.encyclopedia.warthunder.com/images/cn_isu_122.png,https://wiki.warthunder.com/unit/cn_isu_122,2026-07-02T18:30:07.421063+00:00,ok,
cn_isu_152,␗ISU-152,https://static.encyclopedia.warthunder.com/images/cn_isu_152.png,https://wiki.warthunder.com/unit/cn_isu_152,2026-07-02T18:30:09.442418+00:00,ok,
cn_lvt_4_zis_2,LVT(A)(4) (ZiS-2),https://static.encyclopedia.warthunder.com/images/cn_lvt_4_zis_2.png,https://wiki.warthunder.com/unit/cn_lvt_4_zis_2,2026-07-02T18:30:11.422692+00:00,ok,
cn_m10,␗M10 GMC,https://static.encyclopedia.warthunder.com/images/cn_m10.png,https://wiki.warthunder.com/unit/cn_m10,2026-07-02T18:30:13.759863+00:00,ok,
cn_m113a1_tow,␗M113A1 (TOW),https://static.encyclopedia.warthunder.com/images/cn_m113a1_tow.png,https://wiki.warthunder.com/unit/cn_m113a1_tow,2026-07-02T18:30:16.453286+00:00,ok,
cn_m18_hellcat,␗M18 GMC,https://static.encyclopedia.warthunder.com/images/cn_m18_hellcat.png,https://wiki.warthunder.com/unit/cn_m18_hellcat,2026-07-02T18:30:18.298337+00:00,ok,
cn_m1a2t,M1A2T,https://static.encyclopedia.warthunder.com/images/cn_m1a2t.png,https://wiki.warthunder.com/unit/cn_m1a2t,2026-07-02T18:30:20.322199+00:00,ok,
cn_m24_chaffee,␗M24,https://static.encyclopedia.warthunder.com/images/cn_m24_chaffee.png,https://wiki.warthunder.com/unit/cn_m24_chaffee,2026-07-02T18:30:22.940700+00:00,ok,
cn_m36,␗M36 GMC,https://static.encyclopedia.warthunder.com/images/cn_m36.png,https://wiki.warthunder.com/unit/cn_m36,2026-07-02T18:30:25.315541+00:00,ok,
cn_m3a3_stuart,␗M3A3 Stuart,https://static.encyclopedia.warthunder.com/images/cn_m3a3_stuart.png,https://wiki.warthunder.com/unit/cn_m3a3_stuart,2026-07-02T18:30:27.883943+00:00,ok,
cn_m3a3_stuart_1st_ptg,␗M3A3 (1st PTG),https://static.encyclopedia.warthunder.com/images/cn_m3a3_stuart_1st_ptg.png,https://wiki.warthunder.com/unit/cn_m3a3_stuart_1st_ptg,2026-07-02T18:30:30.414786+00:00,ok,
cn_m41_a3_walker_bulldog,␗M41A3,https://static.encyclopedia.warthunder.com/images/cn_m41_a3_walker_bulldog.png,https://wiki.warthunder.com/unit/cn_m41_a3_walker_bulldog,2026-07-02T18:30:33.032696+00:00,ok,
cn_m42_duster,␗M42,https://static.encyclopedia.warthunder.com/images/cn_m42_duster.png,https://wiki.warthunder.com/unit/cn_m42_duster,2026-07-02T18:30:34.951705+00:00,ok,
cn_m48a1_patton_III,␗M48A1,https://static.encyclopedia.warthunder.com/images/cn_m48a1_patton_iii.png,https://wiki.warthunder.com/unit/cn_m48a1_patton_III,2026-07-02T18:30:37.410686+00:00,ok,
cn_m4a1_76w_sherman,␗M4A1 (75) W,https://static.encyclopedia.warthunder.com/images/cn_m4a1_76w_sherman.png,https://wiki.warthunder.com/unit/cn_m4a1_76w_sherman,2026-07-02T18:30:39.572371+00:00,ok,
cn_m4a4_sherman,␗M4A4,https://static.encyclopedia.warthunder.com/images/cn_m4a4_sherman.png,https://wiki.warthunder.com/unit/cn_m4a4_sherman,2026-07-02T18:30:41.478463+00:00,ok,
cn_m4a4_sherman_1st_ptg,␗M4A4 (1st PTG),https://static.encyclopedia.warthunder.com/images/cn_m4a4_sherman_1st_ptg.png,https://wiki.warthunder.com/unit/cn_m4a4_sherman_1st_ptg,2026-07-02T18:30:43.355478+00:00,ok,
cn_m55,␗M55,https://static.encyclopedia.warthunder.com/images/cn_m55.png,https://wiki.warthunder.com/unit/cn_m55,2026-07-02T18:30:45.320831+00:00,ok,
cn_m5a1_stuart,␗M5A1,https://static.encyclopedia.warthunder.com/images/cn_m5a1_stuart.png,https://wiki.warthunder.com/unit/cn_m5a1_stuart,2026-07-02T18:30:47.900429+00:00,ok,
cn_m60a3_tts,␗M60A3 TTS,https://static.encyclopedia.warthunder.com/images/cn_m60a3_tts.png,https://wiki.warthunder.com/unit/cn_m60a3_tts,2026-07-02T18:30:49.859813+00:00,ok,
cn_m8_greyhound,␗M8 LAC,https://static.encyclopedia.warthunder.com/images/cn_m8_greyhound.png,https://wiki.warthunder.com/unit/cn_m8_greyhound,2026-07-02T18:30:52.388114+00:00,ok,
cn_m8_scott,␗M8 HMC,https://static.encyclopedia.warthunder.com/images/cn_m8_scott.png,https://wiki.warthunder.com/unit/cn_m8_scott,2026-07-02T18:30:54.599256+00:00,ok,
cn_m_41d,M41D,https://static.encyclopedia.warthunder.com/images/cn_m_41d.png,https://wiki.warthunder.com/unit/cn_m_41d,2026-07-02T18:30:56.960587+00:00,ok,
cn_mbt2000,MBT-2000,https://static.encyclopedia.warthunder.com/images/cn_mbt2000.png,https://wiki.warthunder.com/unit/cn_mbt2000,2026-07-02T18:30:59.569118+00:00,ok,
cn_mbt2000_sm,◍MBT-2000,https://static.encyclopedia.warthunder.com/images/cn_mbt2000_sm.png,https://wiki.warthunder.com/unit/cn_mbt2000_sm,2026-07-02T18:31:01.569150+00:00,ok,
cn_object_122tm,"Object 122MT ""MC""",https://static.encyclopedia.warthunder.com/images/cn_object_122tm.png,https://wiki.warthunder.com/unit/cn_object_122tm,2026-07-02T18:31:03.635033+00:00,ok,
cn_object_211,Object 211,https://static.encyclopedia.warthunder.com/images/cn_object_211.png,https://wiki.warthunder.com/unit/cn_object_211,2026-07-02T18:31:06.067713+00:00,ok,
cn_oplot_t,Oplot-M,https://static.encyclopedia.warthunder.com/images/cn_oplot_t.png,https://wiki.warthunder.com/unit/cn_oplot_t,2026-07-02T18:31:08.639347+00:00,ok,
cn_pgz_04a,PGZ04A,https://static.encyclopedia.warthunder.com/images/cn_pgz_04a.png,https://wiki.warthunder.com/unit/cn_pgz_04a,2026-07-02T18:31:10.881428+00:00,ok,
cn_pgz_09,PGZ09,https://static.encyclopedia.warthunder.com/images/cn_pgz_09.png,https://wiki.warthunder.com/unit/cn_pgz_09,2026-07-02T18:31:12.856198+00:00,ok,
cn_pgz_625_fb10,CS/SA5,https://static.encyclopedia.warthunder.com/images/cn_pgz_625_fb10.png,https://wiki.warthunder.com/unit/cn_pgz_625_fb10,2026-07-02T18:31:15.592753+00:00,ok,
cn_plz_05,PLZ05,https://static.encyclopedia.warthunder.com/images/cn_plz_05.png,https://wiki.warthunder.com/unit/cn_plz_05,2026-07-02T18:31:18.032106+00:00,ok,
cn_plz_83,PLZ83,https://static.encyclopedia.warthunder.com/images/cn_plz_83.png,https://wiki.warthunder.com/unit/cn_plz_83,2026-07-02T18:31:20.633534+00:00,ok,
cn_plz_83_130,PLZ83-130,https://static.encyclopedia.warthunder.com/images/cn_plz_83_130.png,https://wiki.warthunder.com/unit/cn_plz_83_130,2026-07-02T18:31:23.285844+00:00,ok,
cn_pt_76,␗PT-76,https://static.encyclopedia.warthunder.com/images/cn_pt_76.png,https://wiki.warthunder.com/unit/cn_pt_76,2026-07-02T18:31:25.579439+00:00,ok,
cn_ptl_02,PTL02,https://static.encyclopedia.warthunder.com/images/cn_ptl_02.png,https://wiki.warthunder.com/unit/cn_ptl_02,2026-07-02T18:31:27.690628+00:00,ok,
cn_ptz_89,PTZ89,https://static.encyclopedia.warthunder.com/images/cn_ptz_89.png,https://wiki.warthunder.com/unit/cn_ptz_89,2026-07-02T18:31:30.134320+00:00,ok,
cn_qn506,QN506,https://static.encyclopedia.warthunder.com/images/cn_qn506.png,https://wiki.warthunder.com/unit/cn_qn506,2026-07-02T18:31:32.808165+00:00,ok,
cn_sdkfz_222_early,␗Sd.Kfz.222,https://static.encyclopedia.warthunder.com/images/cn_sdkfz_222_early.png,https://wiki.warthunder.com/unit/cn_sdkfz_222_early,2026-07-02T18:31:35.384769+00:00,ok,
cn_su_100_1945,␗SU-100,https://static.encyclopedia.warthunder.com/images/cn_su_100_1945.png,https://wiki.warthunder.com/unit/cn_su_100_1945,2026-07-02T18:31:37.320039+00:00,ok,
cn_su_76m_1943,␗SU-76M,https://static.encyclopedia.warthunder.com/images/cn_su_76m_1943.png,https://wiki.warthunder.com/unit/cn_su_76m_1943,2026-07-02T18:31:39.352581+00:00,ok,
cn_t_26_1940,␗T-26,https://static.encyclopedia.warthunder.com/images/cn_t_26_1940.png,https://wiki.warthunder.com/unit/cn_t_26_1940,2026-07-02T18:31:41.716978+00:00,ok,
cn_t_26_no531,T-26 No.531,https://static.encyclopedia.warthunder.com/images/cn_t_26_no531.png,https://wiki.warthunder.com/unit/cn_t_26_no531,2026-07-02T18:31:44.104438+00:00,ok,
cn_t_34_1942,␗T-34 (1943),https://static.encyclopedia.warthunder.com/images/cn_t_34_1942.png,https://wiki.warthunder.com/unit/cn_t_34_1942,2026-07-02T18:31:46.833241+00:00,ok,
cn_t_34_85_d_5t,␗Т-34-85 (S-53),https://static.encyclopedia.warthunder.com/images/cn_t_34_85_d_5t.png,https://wiki.warthunder.com/unit/cn_t_34_85_d_5t,2026-07-02T18:31:49.257319+00:00,ok,
cn_t_34_85_zis_53_no215,T-34-85 No.215,https://static.encyclopedia.warthunder.com/images/cn_t_34_85_zis_53_no215.png,https://wiki.warthunder.com/unit/cn_t_34_85_zis_53_no215,2026-07-02T18:31:51.717239+00:00,ok,
cn_t_62,Т-62 №545,https://static.encyclopedia.warthunder.com/images/cn_t_62.png,https://wiki.warthunder.com/unit/cn_t_62,2026-07-02T18:31:54.118575+00:00,ok,
cn_t_80ud_478be,T-80UD/BE,https://static.encyclopedia.warthunder.com/images/cn_t_80ud_478be.png,https://wiki.warthunder.com/unit/cn_t_80ud_478be,2026-07-02T18:31:56.158542+00:00,ok,
