snapshot_date,vehicle_id,vehicle_slug,vehicle_name,vehicle_url,index_type,index_type_code,index_role,index_role_code,index_country,index_mode,index_rank,index_battles,index_win_rate,index_efficiency,search,pic,pulled_at
2026-08-28,2844,ussr_t_80bvm,T-80BVM,https://thunderskill.com/en/vehicle/ussr_t_80bvm,Ground forces,2,Medium Tank,medium_tank,USSR,R,8,5616,46.67322580645161,69.98709677419356,T-80BVM ussr_t_80bvm Medium Tank,https://thunderskill.com/vehimgs/ussr_t_80bvm.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3351,ussr_t_80ue1,Т-80U-Е1,https://thunderskill.com/en/vehicle/ussr_t_80ue1,Ground forces,2,Medium Tank,medium_tank,USSR,R,7,4700,43.861612903225804,64.09903225806453,Т-80U-Е1 ussr_t_80ue1 Medium Tank,https://thunderskill.com/vehimgs/ussr_t_80ue1.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3296,us_m1a1_hc_usmc,M1A1 Click-Bait,https://thunderskill.com/en/vehicle/us_m1a1_hc_usmc,Ground forces,2,Medium Tank,medium_tank,USA,R,7,4471,60.35354838709677,73.45645161290322,M1A1 Click-Bait us_m1a1_hc_usmc Medium Tank,https://thunderskill.com/vehimgs/us_m1a1_hc_usmc.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3310,jp_type_90b_camo,"Type 90 (B) ""Fuji""",https://thunderskill.com/en/vehicle/jp_type_90b_camo,Ground forces,2,Medium Tank,medium_tank,JAPAN,R,7,3973,53.631935483870954,76.34387096774192,"Type 90 (B) ""Fuji"" jp_type_90b_camo Medium Tank",https://thunderskill.com/vehimgs/jp_type_90b_camo.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3695,us_m1a2_sep3_abrams,M1A2 SEPv3,https://thunderskill.com/en/vehicle/us_m1a2_sep3_abrams,Ground forces,2,other,other,USA,R,8,3571,57.542580645161294,80.89258064516127,M1A2 SEPv3 us_m1a2_sep3_abrams other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3694,us_m1a2_sep2_abrams_trophy,M1A2 (Trophy-HV),https://thunderskill.com/en/vehicle/us_m1a2_sep2_abrams_trophy,Ground forces,2,other,other,USA,R,8,2984,61.52741935483872,73.63032258064517,M1A2 (Trophy-HV) us_m1a2_sep2_abrams_trophy other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,2321,ussr_t_72a,T-72A,https://thunderskill.com/en/vehicle/ussr_t_72a,Ground forces,2,Medium Tank,medium_tank,USSR,R,6,2693,52.59548387096775,70.68483870967744,T-72A ussr_t_72a Medium Tank,https://thunderskill.com/vehimgs/ussr_t_72a.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3587,us_m1a1_hc_usmc_sm,◍M1A1 HC,https://thunderskill.com/en/vehicle/us_m1a1_hc_usmc_sm,Ground forces,2,other,other,USA,R,7,2659,62.76903225806453,75.60645161290323,◍M1A1 HC us_m1a1_hc_usmc_sm other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,1851,us_t20,T20,https://thunderskill.com/en/vehicle/us_t20,Ground forces,2,Medium Tank,medium_tank,USA,R,4,2651,65.7709677419355,90.80999999999999,T20 us_t20 Medium Tank,https://thunderskill.com/vehimgs/us_t20.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2145,us_xm_803,XM803,https://thunderskill.com/en/vehicle/us_xm_803,Ground forces,2,Medium Tank,medium_tank,USA,R,6,2566,58.11903225806451,73.06741935483872,XM803 us_xm_803 Medium Tank,https://thunderskill.com/vehimgs/us_xm_803.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3615,ussr_bmpt,БМПТ,https://thunderskill.com/en/vehicle/ussr_bmpt,Ground forces,2,other,other,USSR,R,7,2486,43.473548387096756,57.1625806451613,БМПТ ussr_bmpt other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3311,ussr_t_80ud,T-80UD,https://thunderskill.com/en/vehicle/ussr_t_80ud,Ground forces,2,Medium Tank,medium_tank,USSR,R,7,2385,48.147419354838696,66.59193548387096,T-80UD ussr_t_80ud Medium Tank,https://thunderskill.com/vehimgs/ussr_t_80ud.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2660,us_hstv_l,HSTV-L,https://thunderskill.com/en/vehicle/us_hstv_l,Ground forces,2,Light Tank,light_tank,USA,R,7,2346,58.45129032258063,60.93741935483872,HSTV-L us_hstv_l Light Tank,https://thunderskill.com/vehimgs/us_hstv_l.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3346,us_xm_800t,XM800T,https://thunderskill.com/en/vehicle/us_xm_800t,Ground forces,2,Light Tank,light_tank,USA,R,5,2314,61.629354838709666,59.09935483870968,XM800T us_xm_800t Light Tank,https://thunderskill.com/vehimgs/us_xm_800t.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1161,germ_pzkpfw_VI_ausf_b_tiger_IIh,Tiger II (H),https://thunderskill.com/en/vehicle/germ_pzkpfw_VI_ausf_b_tiger_IIh,Ground forces,2,Heavy Tank,heavy_tank,GERMANY,R,4,2311,48.667419354838714,78.08096774193547,Tiger II (H) germ_pzkpfw_VI_ausf_b_tiger_IIh Heavy Tank,https://thunderskill.com/vehimgs/germ_pzkpfw_vi_ausf_b_tiger_iih.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3588,ussr_t_80ue1_sm,◍Т-80У-Е1,https://thunderskill.com/en/vehicle/ussr_t_80ue1_sm,Ground forces,2,other,other,USSR,R,7,2292,44.84193548387097,59.242258064516136,◍Т-80У-Е1 ussr_t_80ue1_sm other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3616,ussr_bmpt_72,БМПТ-72,https://thunderskill.com/en/vehicle/ussr_bmpt_72,Ground forces,2,other,other,USSR,R,7,2199,46.12935483870968,61.089032258064535,БМПТ-72 ussr_bmpt_72 other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3556,us_t58,T58,https://thunderskill.com/en/vehicle/us_t58,Ground forces,2,other,other,USA,R,5,2161,61.79870967741935,82.08774193548389,T58 us_t58 other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3285,germ_leopard_2a7v,Leopard 2A7V,https://thunderskill.com/en/vehicle/germ_leopard_2a7v,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,8,2095,48.58064516129032,70.81935483870969,Leopard 2A7V germ_leopard_2a7v Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_2a7v.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3286,ussr_t_90m_2020,T-90M,https://thunderskill.com/en/vehicle/ussr_t_90m_2020,Ground forces,2,Medium Tank,medium_tank,USSR,R,8,2053,42.125161290322566,60.957419354838706,T-90M ussr_t_90m_2020 Medium Tank,https://thunderskill.com/vehimgs/ussr_t_90m_2020.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2530,ussr_bmp_3,BMP-3,https://thunderskill.com/en/vehicle/ussr_bmp_3,Ground forces,2,Light Tank,light_tank,USSR,R,6,2001,51.455483870967754,56.28645161290322,BMP-3 ussr_bmp_3 Light Tank,https://thunderskill.com/vehimgs/ussr_bmp_3.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3348,germ_leopard_2a4m_can,Leopard 2A4M,https://thunderskill.com/en/vehicle/germ_leopard_2a4m_can,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,7,1967,42.82032258064515,65.03709677419356,Leopard 2A4M germ_leopard_2a4m_can Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_2a4m_can.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2376,us_m1a1_abrams,M1A1,https://thunderskill.com/en/vehicle/us_m1a1_abrams,Ground forces,2,Medium Tank,medium_tank,USA,R,7,1958,57.31774193548387,72.77806451612902,M1A1 us_m1a1_abrams Medium Tank,https://thunderskill.com/vehimgs/us_m1a1_abrams.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3288,us_m1a2_sep2_abrams,M1A2 SEP V2,https://thunderskill.com/en/vehicle/us_m1a2_sep2_abrams,Ground forces,2,Medium Tank,medium_tank,USA,R,8,1957,57.90032258064517,68.03354838709677,M1A2 SEP V2 us_m1a2_sep2_abrams Medium Tank,https://thunderskill.com/vehimgs/us_m1a2_sep2_abrams.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2043,jp_type_5_ho_ri_production,Ho-Ri Production,https://thunderskill.com/en/vehicle/jp_type_5_ho_ri_production,Ground forces,2,Tank Destroyer,tank_destroyer,JAPAN,R,5,1937,86.05870967741936,91.84580645161289,Ho-Ri Production jp_type_5_ho_ri_production Tank Destroyer,https://thunderskill.com/vehimgs/jp_type_5_ho_ri_production.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1984,us_mbt_70,MBT-70,https://thunderskill.com/en/vehicle/us_mbt_70,Ground forces,2,Medium Tank,medium_tank,USA,R,6,1899,61.71290322580646,70.98,MBT-70 us_mbt_70 Medium Tank,https://thunderskill.com/vehimgs/us_mbt_70.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3080,ussr_2s38,2S38,https://thunderskill.com/en/vehicle/ussr_2s38,Ground forces,2,Light Tank,light_tank,USSR,R,7,1848,49.76806451612904,50.93096774193548,2S38 ussr_2s38 Light Tank,https://thunderskill.com/vehimgs/ussr_2s38.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2156,us_xm1_chrysler,XM1 (Chrysler),https://thunderskill.com/en/vehicle/us_xm1_chrysler,Ground forces,2,Medium Tank,medium_tank,USA,R,6,1767,67.06709677419357,89.73935483870967,XM1 (Chrysler) us_xm1_chrysler Medium Tank,https://thunderskill.com/vehimgs/us_xm1_chrysler.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2109,us_m1_abrams,M1 Abrams,https://thunderskill.com/en/vehicle/us_m1_abrams,Ground forces,2,Medium Tank,medium_tank,USA,R,7,1722,50.64451612903226,67.4767741935484,M1 Abrams us_m1_abrams Medium Tank,https://thunderskill.com/vehimgs/us_m1_abrams.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1472,us_m18_hellcat,M18 GMC,https://thunderskill.com/en/vehicle/us_m18_hellcat,Ground forces,2,Light Tank,light_tank,USA,R,3,1710,58.62419354838712,63.54193548387096,M18 GMC us_m18_hellcat Light Tank,https://thunderskill.com/vehimgs/us_m18_hellcat.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3487,us_xm246,XM246,https://thunderskill.com/en/vehicle/us_xm246,Ground forces,2,SPAA,spaa,USA,R,6,1698,55.61322580645162,64.8748387096774,XM246 us_xm246 SPAA,,2026-08-28T10:00:04.306692+00:00
2026-08-28,2689,ussr_bmp_2m,BMP-2M,https://thunderskill.com/en/vehicle/ussr_bmp_2m,Ground forces,2,Light Tank,light_tank,USSR,R,7,1635,44.67935483870968,47.15774193548388,BMP-2M ussr_bmp_2m Light Tank,https://thunderskill.com/vehimgs/ussr_bmp_2m.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3021,us_m1a1_aim_abrams,M1A1 AIM,https://thunderskill.com/en/vehicle/us_m1a1_aim_abrams,Ground forces,2,Medium Tank,medium_tank,USA,R,7,1583,62.271612903225794,67.11612903225806,M1A1 AIM us_m1a1_aim_abrams Medium Tank,https://thunderskill.com/vehimgs/us_m1a1_aim_abrams.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1985,ussr_t_64a_1971,T-64A (1971),https://thunderskill.com/en/vehicle/ussr_t_64a_1971,Ground forces,2,Medium Tank,medium_tank,USSR,R,6,1549,50.92129032258065,69.44032258064516,T-64A (1971) ussr_t_64a_1971 Medium Tank,https://thunderskill.com/vehimgs/ussr_t_64a_1971.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1219,ussr_t_44_100,T-44-100,https://thunderskill.com/en/vehicle/ussr_t_44_100,Ground forces,2,Medium Tank,medium_tank,USSR,R,5,1520,50.83548387096773,66.65225806451613,T-44-100 ussr_t_44_100 Medium Tank,https://thunderskill.com/vehimgs/ussr_t_44_100.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3592,ussr_t_34_85_stp_s53,Т-34-85 (СТП),https://thunderskill.com/en/vehicle/ussr_t_34_85_stp_s53,Ground forces,2,other,other,USSR,R,4,1510,50.910322580645165,68.71064516129032,Т-34-85 (СТП) ussr_t_34_85_stp_s53 other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,2960,germ_erprobungstrager_3_achs_turm,Turm III,https://thunderskill.com/en/vehicle/germ_erprobungstrager_3_achs_turm,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,5,1507,41.55967741935484,72.11387096774193,Turm III germ_erprobungstrager_3_achs_turm Medium Tank,https://thunderskill.com/vehimgs/germ_erprobungstrager_3_achs_turm.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1845,germ_flakpz_I_Gepard,Gepard,https://thunderskill.com/en/vehicle/germ_flakpz_I_Gepard,Ground forces,2,SPAA,spaa,GERMANY,R,6,1507,34.215483870967745,50.513225806451615,Gepard germ_flakpz_I_Gepard SPAA,https://thunderskill.com/vehimgs/germ_flakpz_i_gepard.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3015,germ_leopard_2a4_pzbtl_123,Leopard 2 (PzBtl 123),https://thunderskill.com/en/vehicle/germ_leopard_2a4_pzbtl_123,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,7,1497,45.200322580645164,65.4183870967742,Leopard 2 (PzBtl 123) germ_leopard_2a4_pzbtl_123 Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_2a4_pzbtl_123.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2112,germ_leopard_2k,Leopard 2K,https://thunderskill.com/en/vehicle/germ_leopard_2k,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,7,1450,53.53483870967741,70.74064516129032,Leopard 2K germ_leopard_2k Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_2k.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1706,us_m18_hellcat_black_cat,"M18 ""Black Cat""",https://thunderskill.com/en/vehicle/us_m18_hellcat_black_cat,Ground forces,2,Light Tank,light_tank,USA,R,3,1437,78.29838709677422,79.5548387096774,"M18 ""Black Cat"" us_m18_hellcat_black_cat Light Tank",https://thunderskill.com/vehimgs/us_m18_hellcat_black_cat.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3442,us_rdf_lt,RDF/LT,https://thunderskill.com/en/vehicle/us_rdf_lt,Ground forces,2,Light Tank,light_tank,USA,R,7,1406,58.89064516129033,63.075161290322576,RDF/LT us_rdf_lt Light Tank,,2026-08-28T10:00:04.306692+00:00
2026-08-28,1807,us_t29,T29,https://thunderskill.com/en/vehicle/us_t29,Ground forces,2,Heavy Tank,heavy_tank,USA,R,4,1384,60.41516129032258,80.38225806451614,T29 us_t29 Heavy Tank,https://thunderskill.com/vehimgs/us_t29.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3316,sw_strv121b_christian2,Christian II,https://thunderskill.com/en/vehicle/sw_strv121b_christian2,Ground forces,2,Medium Tank,medium_tank,SWEDEN,R,7,1382,53.637419354838705,73.54322580645162,Christian II sw_strv121b_christian2 Medium Tank,https://thunderskill.com/vehimgs/sw_strv121b_christian2.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1994,germ_kpz_70,KPz-70,https://thunderskill.com/en/vehicle/germ_kpz_70,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,6,1381,47.32967741935482,57.152258064516154,KPz-70 germ_kpz_70 Medium Tank,https://thunderskill.com/vehimgs/germ_kpz_70.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3077,us_m1a2_sep_abrams,M1A2 SEP,https://thunderskill.com/en/vehicle/us_m1a2_sep_abrams,Ground forces,2,Medium Tank,medium_tank,USA,R,8,1377,56.533548387096765,66.94645161290323,M1A2 SEP us_m1a2_sep_abrams Medium Tank,https://thunderskill.com/vehimgs/us_m1a2_sep_abrams.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3589,germ_leopard_2a4m_can_sm,◍Leopard 2A4M,https://thunderskill.com/en/vehicle/germ_leopard_2a4m_can_sm,Ground forces,2,other,other,GERMANY,R,7,1375,43.0358064516129,62.09612903225806,◍Leopard 2A4M germ_leopard_2a4m_can_sm other,,2026-08-28T10:00:04.306692+00:00
2026-08-28,2702,ussr_t_72b3_2011,T-72B3,https://thunderskill.com/en/vehicle/ussr_t_72b3_2011,Ground forces,2,Medium Tank,medium_tank,USSR,R,7,1306,52.262580645161286,54.64193548387099,T-72B3 ussr_t_72b3_2011 Medium Tank,https://thunderskill.com/vehimgs/ussr_t_72b3_2011.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1873,ussr_object_906,Object 906,https://thunderskill.com/en/vehicle/ussr_object_906,Ground forces,2,Light Tank,light_tank,USSR,R,5,1299,51.31354838709677,68.21806451612902,Object 906 ussr_object_906 Light Tank,https://thunderskill.com/vehimgs/ussr_object_906.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2901,ussr_2s25m,2S25M,https://thunderskill.com/en/vehicle/ussr_2s25m,Ground forces,2,Light Tank,light_tank,USSR,R,7,1288,51.5090322580645,53.644838709677416,2S25M ussr_2s25m Light Tank,https://thunderskill.com/vehimgs/ussr_2s25m.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2141,germ_leopard_2a4,Leopard 2A4,https://thunderskill.com/en/vehicle/germ_leopard_2a4,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,7,1285,47.682903225806456,58.53129032258064,Leopard 2A4 germ_leopard_2a4 Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_2a4.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2738,ussr_t_72av_turms,T-72AV (TURMS-T),https://thunderskill.com/en/vehicle/ussr_t_72av_turms,Ground forces,2,Medium Tank,medium_tank,USSR,R,7,1275,52.18774193548387,67.3441935483871,T-72AV (TURMS-T) ussr_t_72av_turms Medium Tank,https://thunderskill.com/vehimgs/ussr_t_72av_turms.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2169,ussr_t_80b,T-80B,https://thunderskill.com/en/vehicle/ussr_t_80b,Ground forces,2,Medium Tank,medium_tank,USSR,R,7,1275,52.7458064516129,65.8293548387097,T-80B ussr_t_80b Medium Tank,https://thunderskill.com/vehimgs/ussr_t_80b.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1700,germ_pzkpfw_VI_ausf_e_tiger,Tiger E,https://thunderskill.com/en/vehicle/germ_pzkpfw_VI_ausf_e_tiger,Ground forces,2,Heavy Tank,heavy_tank,GERMANY,R,3,1257,45.675483870967746,63.979677419354836,Tiger E germ_pzkpfw_VI_ausf_e_tiger Heavy Tank,https://thunderskill.com/vehimgs/germ_pzkpfw_vi_ausf_e_tiger.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3382,cn_al_khalid_1,Al-Khalid-I,https://thunderskill.com/en/vehicle/cn_al_khalid_1,Ground forces,2,Medium Tank,medium_tank,CHINA,R,7,1204,53.75322580645161,71.48967741935485,Al-Khalid-I cn_al_khalid_1 Medium Tank,,2026-08-28T10:00:04.306692+00:00
2026-08-28,3448,ussr_bmd_4m,БМД-4M,https://thunderskill.com/en/vehicle/ussr_bmd_4m,Ground forces,2,Light Tank,light_tank,USSR,R,6,1189,44.99,66.37774193548387,БМД-4M ussr_bmd_4m Light Tank,,2026-08-28T10:00:04.306692+00:00
2026-08-28,2732,germ_leopard_1a5,Leopard 1A5,https://thunderskill.com/en/vehicle/germ_leopard_1a5,Ground forces,2,Medium Tank,medium_tank,GERMANY,R,6,1188,44.2441935483871,60.700967741935486,Leopard 1A5 germ_leopard_1a5 Medium Tank,https://thunderskill.com/vehimgs/germ_leopard_1a5.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3101,jp_tkx_prot,TKX,https://thunderskill.com/en/vehicle/jp_tkx_prot,Ground forces,2,Medium Tank,medium_tank,JAPAN,R,8,1187,55.93612903225806,72.26806451612903,TKX jp_tkx_prot Medium Tank,https://thunderskill.com/vehimgs/jp_tkx_prot.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1950,ussr_t_55a,T-55A,https://thunderskill.com/en/vehicle/ussr_t_55a,Ground forces,2,Medium Tank,medium_tank,USSR,R,6,1184,48.81354838709679,59.310322580645156,T-55A ussr_t_55a Medium Tank,https://thunderskill.com/vehimgs/ussr_t_55a.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,2044,germ_begleitpanzer_57,Begleitpanzer 57,https://thunderskill.com/en/vehicle/germ_begleitpanzer_57,Ground forces,2,Light Tank,light_tank,GERMANY,R,6,1183,52.08483870967742,58.60677419354838,Begleitpanzer 57 germ_begleitpanzer_57 Light Tank,https://thunderskill.com/vehimgs/germ_begleitpanzer_57.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,1892,jp_m24_chaffee,M24,https://thunderskill.com/en/vehicle/jp_m24_chaffee,Ground forces,2,Light Tank,light_tank,JAPAN,R,3,1181,61.63000000000001,63.797419354838716,M24 jp_m24_chaffee Light Tank,https://thunderskill.com/vehimgs/jp_m24_chaffee.png,2026-08-28T10:00:04.306692+00:00
2026-08-28,3169,sw_itpsv_90,ItPsV Leopard,https://thunderskill.com/en/vehicle/sw_itpsv_90,Ground forces,2,SPAA,spaa,SWEDEN,R,6,1161,45.86709677419354,65.83354838709677,ItPsV Leopard sw_itpsv_90 SPAA,https://thunderskill.com/vehimgs/sw_itpsv_90.png,2026-08-28T10:00:04.306692+00:00
